Progressivo;Tipologia Atto;Data Seduta di Consiglio;Oggetto Atto;Num. PG;Anno PG;Data Pubblicazione;Ufficio Proponente;Consigliere Firmatario;Altri Consiglieri Firmatari - Progressivo;Testo
;"Delibera di Consiglio";17/12/2012;"AUTORIZZAZIONE PER LA CONCESSIONE DI UNA FIDEIUSSIONE A FAVORE DI HERA SERVIZI CIMITERIALI S.R.L., A GARANZIA DEL MUTUO CONTRATTO CON UNIPOL BANCA SPA.";269155;2012;20/12/2012;"Salute Sport e Città Sana";;;"http://atti.comune.bologna.it/atti/delibere.nsf/0/518A6806B78F56BEC1257AB70039D2B5?OpenDocument"
;"Delibera di Consiglio";17/12/2012;"RATIFICA DELIBERAZIONE P.G.N. 271437/2012 ADOTTATA IN VIA D'URGENZA DALLA GIUNTA COMUNALE, AI SENSI DEGLI ARTT. 42 E 175 DEL T.U. 267/2000. VARIAZIONE AL BILANCIO DI PREVISIONE PER L'ESERCIZIO 2012 E AL BILANCIO PLURIENNALE 2012/2014.";277818;2012;20/12/2012;"Segreteria Generale";;;"http://atti.comune.bologna.it/atti/delibere.nsf/0/F6681050745F82DEC1257AC3002BCE6A?OpenDocument"
;"Delibera di Consiglio";17/12/2012;"RATIFICA DELIBERAZIONE P.G. 274562/2012 ADOTTATA IN VIA D'URGENZA DALLA GIUNTA COMUNALE, AI SENSI DEGLI ARTT. 42 E 175 DEL T.U. 267/2000. VARIAZIONE AL BILANCIO DI PREVISIONE PER L'ESERCIZIO 2012 E AL BILANCIO PLURIENNALE 2012/2014.";277985;2012;20/12/2012;"Segreteria Generale";;;"http://atti.comune.bologna.it/atti/delibere.nsf/0/8E4992B8528B970FC1257AC30030DD0E?OpenDocument"
;"Delibera di Consiglio";17/12/2012;"PARZIALE MODIFICA PER MERO ERRORE MATERIALE, PIANO POLIENNALE LAVORI PUBBLICI E INVESTIMENTI TRIENNIO 2012-2014 APPROVATO CON DELIBERAZIONE N.318/2012 DEL 12.11.2012.";276153;2012;20/12/2012;"Dipartimento Cura e Qualità del Territorio";;;"http://atti.comune.bologna.it/atti/delibere.nsf/0/DAEE5A5DF0A54246C1257AC500339993?OpenDocument"
;"Delibera di Consiglio";17/12/2012;"SCADENZE PAGAMENTO NUOVO TRIBUTO SUI RIFIUTI E SUI SERVIZI (ART.14 D.L.201/11) PER L'ANNO 2013 NELLE MORE DELL'APPROVAZIONE RELATIVA DISCIPLINA REGOLAMENTARE";287206;2012;20/12/2012;"Entrate";;;"http://atti.comune.bologna.it/atti/delibere.nsf/0/059ABC8C7B63F9DCC1257ACC005503D8?OpenDocument"
;"Delibera di Consiglio";18/12/2012;"ABROGAZIONE DEL 'REGOLAMENTO PER IL FUNZIONAMENTO E LA GESTIONE DEL CANILE/GATTILE MUNICIPALE E LA DISCIPLINA DEI SERVIZI CORRELATI' E CONTESTUALE APPROVAZIONE DEL NUOVO 'REGOLAMENTO PER LA GESTIONE DEL CANILE/GATTILE MUNICIPALE, DEI SERVIZI CORRELATI E DEI RAPPORTI CON IL VOLONTARIATO'";226342;2012;22/12/2012;"Salute Sport e Città Sana";;;"http://atti.comune.bologna.it/atti/delibere.nsf/0/6361D0599392FC5BC1257A85002F1BEE?OpenDocument"
;"Delibera di Consiglio";18/12/2012;"ISTITUZIONE PER L'INCLUSIONE SOCIALE E COMUNITARIA 'DON PAOLO SERRA ZANETTI' DEL COMUNE DI BOLOGNA - APPROVAZIONE RENDICONTO DI GESTIONE 2011.";264782;2012;22/12/2012;"Dipartimento Benessere di Comunità";;;"http://atti.comune.bologna.it/atti/delibere.nsf/0/5AC6CDD2E2DB1722C1257AAE0029EE8C?OpenDocument"
;"Delibera di Consiglio";18/12/2012;"APPROVAZIONE MODIFICHE AL REGOLAMENTO PER L'OCCUPAZIONE DI SUOLO PUBBLICO E PER L'APPLICAZIONE DEL RELATIVO CANONE, APPROVATO CON DELIBERA PG 17044/2004 E SUCCESSIVE MODIFICHE";214839;2012;22/12/2012;"Entrate";;;"http://atti.comune.bologna.it/atti/delibere.nsf/0/65F94F28CCFF1384C1257AB70052157F?OpenDocument"
;"Delibera di Consiglio";18/12/2012;"APPROVAZIONE ESITI VERIFICA COERENZA CON CONTENUTI AVVISO PUBBLICO, EX D. CC 135/2012, MANIFESTAZIONI DI INTERESSE PERVENUTE. LINEE GUIDA PER ELABORAZIONE POC DI QUALIFICAZIONE URBANA";277528;2012;22/12/2012;"Urbanistica - Edilizia";;;"http://atti.comune.bologna.it/atti/delibere.nsf/0/419F8DD5B5BA1EAFC1257ABD0034C7EA?OpenDocument"
"32861";"OdG";18/12/2012;"ORDINE DEL GIORNO COLLEGATO ALLA DELIBERA ODG 325/2012 TESO AD ABROGARE IL 'REGOLAMENTO PER IL FUNZIONAMENTO E LA GESTIONE DEL CANILE/GATTILE MUNICIPALE E LA DISCIPLINA DEI SERVIZI CORRELATI' E CONTESTUALMENTE AD APPROVARE IL NUOVO 'REGOLAMENTO PER LA GESTIONE DEL CANILE/GATTILE MUNICIPALE, DEI SERVIZI CORRELATI E DEI RAPPORTI CON IL VOLONTARIATO', PER INVITARE IL SINDACO E LA GIUNTA A VALUTARE L'OPPORTUNITA' DI ANDARE A GARA PER LE FORNITURE DI ALIMENTIDESTINATI AL CANILE, PRESENTATO DALLA CONS. SALSI IN DATA 10.12.2012 E SUCC. SOTTOSCRITTO DA ALTRI CONS. IN DATA 17.12.2012.";290482;2012;;"MOVIMENTO 5 STELLE";"SALSI FEDERICA";"LISEI MARCO - 21843";
"32861";"OdG";18/12/2012;"ORDINE DEL GIORNO TESTO AD ABROGARE IL 'REG. PER IL FUNZIONAMENTO E LA GESTIONE DEL CANILE/GATTILE E LA DISCIPLINA DEI SERVIZI CORRELATI' E CONTESTUALMENTE AD APPROVARE IL NUOVO REGOLAMENTO E PER INVITARE SINDACO E GIUNTA AD INSERIRE NELLE FUTURE CONVENZIONI PRECISE INDICAZIONI SULLE MODALITA' CON LE QUALI I VOLONTARI DOVRANNO RAPPORTARSI CON ANIMALI MORDACI E FEROCI, PRESENTATO DALLA CONS. SALSI IN DATA 10.12.2012 E SUCCESSIVAMENTE SOTTOSCRITTO DA ALTRI CONS. IN DATA 17.12.2012";290424;2012;;"MOVIMENTO 5 STELLE";"SALSI FEDERICA";"LISEI MARCO - 21843";
"32861";"OdG";18/12/2012;"ORDINE DEL GIORNO COLLEGATO ALLA DELIBERA ODG 325/2012 TESA AD ABROGARE IL 'REGOLAMENTO PER IL FUNZIONAMENTO E LA GESTIONE DEL CANILE/GATTILE MUNICIPALE E LA DISCIPLINA DEI SERVIZI CORRELATI' E CONTESTUALMENTE AD APPROVARE IL NUOVO 'REGOLAMENTO PER LA GESTIONE DEL CANILE/GATTILE MUNICIPALE, DEI SERVIZI CORRELATI E DEI RAPPORTI CON IL VOLONTARIATO, PER INVITARE SINDACO E GIUNTA AD ISTITUIRE UN ALBO DEI VOLONTARI ACCREDITATI ALL'ACCESSO DEL CANILE, PRESENTATO DALLA CONSIGLIERA SALSI IN DATA 11.12.2012 E SUCCESSIVAMENTE SOTTOSCRITTO DA ALTRI CONS. IN DATA 17.12.2012.";290158;2012;;"MOVIMENTO 5 STELLE";"SALSI FEDERICA";"LISEI MARCO - 21843";
"27208";"OdG";18/12/2012;"ORDINE DEL GIORNO PER INVITARE IL SINDACO AD INSERIRE NEL SITO DEL COMUNE DI BOLOGNA UN BANNER CON LA DICITURA 'ADOZIONI ANIMALI CANILE' ATTRAVERSO IL QUALE DARE ACCESSO AD ORARI E GIORNATE DI APERTURA, NONCHE' ALLE PROCEDURE AD ALLA DOCUMENTAZIONE NECESSARIA PER L'AFFIDAMENTO E L'ADOZIONE DI CANI E GATTI. PRESENTATO DAL CONSIGLIERE TOMASSINI ED ALTRI IN DATA 17/12/2012.";295421;2012;;"POPOLO DELLA LIBERTA'";"TOMASSINI LORENZO";"BORGONZONI LUCIA - 33983","COCCONCELLI MIRKA - 33981","GATTUSO PATRIZIO GIUSEPPE - 20144";
